delta,conductor,rank,regulator,real_period,torsion_order,label
-161051.0,11,0,,,,11a1
-21952.0,14,0,,,,14a1
50625.0,15,0,,,,15a1
-83521.0,17,0,,,,17a1
-6859.0,19,0,,,,19a1
-6400.0,20,0,,,,20a1
3969.0,21,0,,,,21a1
2304.0,24,0,,,,24a1
-17576.0,26,0,,,,26a1
-1664.0,26,0,,,,26b1
-19683.0,27,0,,,,27a1
-2160.0,30,0,,,,30a1
-4096.0,32,0,,,,32a1
88209.0,33,0,,,,33a1
1088.0,34,0,,,,34a1
-42875.0,35,0,,,,35a1
-432.0,36,0,,,,36a1
37.0,37,1,,,,37a1
50653.0,37,0,,,,37b1
-3511808.0,38,0,,,,38a1
-608.0,38,0,,,,38b1
1521.0,39,0,,,,39a1
6400.0,40,0,,,,40a1
-16128.0,42,0,,,,42a1
-43.0,43,1,,,,43a1
-2816.0,44,0,,,,44a1
-10935.0,45,0,,,,45a1
-23552.0,46,0,,,,46a1
2304.0,48,0,,,,48a1
-343.0,49,0,,,,49a1
-1250.0,50,0,,,,50a1
-800.0,50,0,,,,50b1
-459.0,51,0,,,,51a1
-43264.0,52,0,,,,52a1
-53.0,53,1,,,,53a1
-157464.0,54,0,,,,54a1
-216.0,54,0,,,,54b1
3025.0,55,0,,,,55a1
-1792.0,56,0,,,,56a1
-7168.0,56,0,,,,56b1
-171.0,57,1,,,,57a1
3249.0,57,0,,,,57b1
-1121931.0,57,0,,,,57c1
-116.0,58,1,,,,58a1
-29696.0,58,0,,,,58b1
-61.0,61,1,,,,61a1
-496.0,62,0,,,,62a1
-45927.0,63,0,,,,63a1
4096.0,64,0,,,,64a1
65.0,65,1,,,,65a1
1188.0,66,0,,,,66a1
528.0,66,0,,,,66b1
2737152.0,66,0,,,,66c1
-67.0,67,0,,,,67a1
-207.0,69,0,,,,69a1
-2800.0,70,0,,,,70a1
-34992.0,72,0,,,,72a1
-5329.0,73,0,,,,73a1
-1875.0,75,0,,,,75a1
-234375.0,75,0,,,,75b1
-6075.0,75,0,,,,75c1
-4864.0,76,0,,,,76a1
-539.0,77,1,,,,77a1
-156590819.0,77,0,,,,77b1
-41503.0,77,0,,,,77c1
-207028224.0,78,0,,,,78a1
79.0,79,1,,,,79a1
6400.0,80,0,,,,80a1
-6400.0,80,0,,,,80b1
164.0,82,1,,,,82a1
-83.0,83,1,,,,83a1
-21168.0,84,0,,,,84a1
-2352.0,84,0,,,,84b1
425.0,85,0,,,,85a1
-2816.0,88,1,,,,88a1
-89.0,89,1,,,,89a1
-7921.0,89,0,,,,89b1
-13500.0,90,0,,,,90a1
-8640.0,90,0,,,,90b1
-1574640.0,90,0,,,,90c1
-91.0,91,1,,,,91a1
-91.0,91,1,,,,91b1
-368.0,92,0,,,,92a1
-368.0,92,1,,,,92b1
-188.0,94,0,,,,94a1
576.0,96,0,,,,96a1
576.0,96,0,,,,96b1
-3294172.0,98,0,,,,98a1
297.0,99,1,,,,99a1
216513.0,99,0,,,,99b1
216513.0,99,0,,,,99c1
-8019.0,99,0,,,,99d1
1250000.0,100,0,,,,100a1
101.0,101,1,,,,101a1
612.0,102,1,,,,102a1
352512.0,102,0,,,,102b1
793152.0,102,0,,,,102c1
-26624.0,104,0,,,,104a1
105.0,105,0,,,,105a1
-424.0,106,0,,,,106a1
-848.0,106,1,,,,106b1
-889192448.0,106,0,,,,106c1
-1696.0,106,0,,,,106d1
-6912.0,108,0,,,,108a1
-109.0,109,0,,,,109a1
-1100000.0,110,0,,,,110a1
-440.0,110,0,,,,110b1
-851840.0,110,0,,,,110c1
-7168.0,112,1,,,,112a1
-1792.0,112,0,,,,112b1
-114688.0,112,0,,,,112c1
-12769.0,113,0,,,,113a1
32832.0,114,0,,,,114a1
18468.0,114,0,,,,114b1
537919488.0,114,0,,,,114c1
-71875.0,115,0,,,,115a1
-7424.0,116,0,,,,116a1
-7424.0,116,0,,,,116b1
-215296.0,116,0,,,,116c1
-28431.0,117,1,,,,117a1
-236.0,118,1,,,,118a1
-60416.0,118,0,,,,118b1
-118.0,118,0,,,,118c1
-30932992.0,118,0,,,,118d1
720.0,120,0,,,,120a1
-3840.0,120,0,,,,120b1
-121.0,121,0,,,,121a1
-1331.0,121,1,,,,121b1
-14641.0,121,0,,,,121c1
-19487171.0,121,0,,,,121d1
-976.0,122,1,,,,122a1
-9963.0,123,1,,,,123a1
-123.0,123,1,,,,123b1
-496.0,124,1,,,,124a1
-496.0,124,0,,,,124b1
-20412.0,126,0,,,,126a1
-11757312.0,126,0,,,,126b1
-256.0,128,1,,,,128a1
-16384.0,128,0,,,,128b1
-256.0,128,0,,,,128c1
-16384.0,128,0,,,,128d1
-3483.0,129,1,,,,129a1
1347921.0,129,0,,,,129b1
26000.0,130,1,,,,130a1
16640.0,130,0,,,,130b1
10400000.0,130,0,,,,130c1
-131.0,131,1,,,,131a1
