delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
-161051.0,11,0,,,,11a1,108259881276.64159,500000.0,0.0,0.0,500000.0,0.5
-21952.0,14,0,,,,14a1,82509975131.75034,500000.0,0.0,35400739904.23794,500000.0,0.5
50625.0,15,0,,,,15a1,93306650907.44075,500000.0,0.0,45528364170.64806,500000.0,0.5
-83521.0,17,0,,,,17a1,99775614309.72269,500000.0,0.0,63901353387.090256,500000.0,0.5
-6859.0,19,0,,,,19a1,67478946610.33547,500000.0,0.0,80228423371.44688,500000.0,0.5
-6400.0,20,0,,,,20a1,66583986393.20333,500000.0,0.0,87757885499.1643,500000.0,0.5
3969.0,21,0,,,,21a1,60410511617.37535,500000.0,0.0,94919907313.22845,500000.0,0.5
2304.0,24,0,,,,24a1,53383166299.126724,500000.0,0.0,114521291385.60196,500000.0,0.5
-17576.0,26,0,,,,26a1,79637313809.30382,500000.0,0.0,126270946837.13646,500000.0,0.5
-1664.0,26,0,,,,26b1,49178362974.021805,500000.0,0.0,126270946837.13646,500000.0,0.5
-19683.0,27,0,,,,27a1,81100249271.4682,500000.0,0.0,131810937466.07625,500000.0,0.5
-2160.0,30,0,,,,30a1,52549260004.06476,500000.0,0.0,147277052908.15472,500000.0,0.5
-4096.0,32,0,,,,32a1,60817482641.227,500000.0,0.0,156750812714.1183,500000.0,0.5
88209.0,33,0,,,,33a1,100481245204.84598,500000.0,0.0,161267856146.49728,500000.0,0.5
1088.0,34,0,,,,34a1,43688420473.504715,500000.0,0.0,165650042124.59702,500000.0,0.5
-42875.0,35,0,,,,35a1,91159730759.71484,500000.0,0.0,169905190164.2975,500000.0,0.5
-432.0,36,0,,,,36a1,31753611404.845783,500000.0,0.0,174040458794.5925,500000.0,0.5
37.0,37,1,,,,37a1,0.0,500000.0,0.0,178062418018.52145,500000.0,0.5
50653.0,37,0,,,,37b1,93313795396.31572,500000.0,0.0,178062418018.52145,500000.0,0.5
-3511808.0,38,0,,,,38a1,148084731864.8741,500000.0,0.0,181977112108.95364,500000.0,0.5
-608.0,38,0,,,,38b1,36169375546.08362,500000.0,0.0,181977112108.95364,500000.0,0.5
1521.0,39,0,,,,39a1,48017323687.94713,500000.0,0.0,185790114246.1269,500000.0,0.5
6400.0,40,0,,,,40a1,66583986393.20333,500000.0,0.0,189506574236.67105,500000.0,0.5
-16128.0,42,0,,,,42a1,78526393852.53198,500000.0,0.0,196668596050.7352,500000.0,0.5
-43.0,43,1,,,,43a1,1941805807.5964935,500000.0,0.0,200122692560.07172,500000.0,0.5
-2816.0,44,0,,,,44a1,55976044989.72527,500000.0,0.0,203497377475.01352,500000.0,0.5
-10935.0,45,0,,,,45a1,73505420766.32584,500000.0,0.0,206796220317.14526,500000.0,0.5
-23552.0,46,0,,,,46a1,83419004097.49979,500000.0,0.0,210022555215.76346,500000.0,0.5
2304.0,48,0,,,,48a1,53383166299.126724,500000.0,0.0,216269980123.1087,500000.0,0.5
-343.0,49,0,,,,49a1,28772784962.057907,500000.0,0.0,219296733306.87784,500000.0,0.5
-1250.0,50,0,,,,50a1,45481895060.333435,500000.0,0.0,222262335759.2238,500000.0,0.5
-800.0,50,0,,,,50b1,39715391308.35712,500000.0,0.0,222262335759.2238,500000.0,0.5
-459.0,51,0,,,,51a1,32536945960.3543,500000.0,0.0,225169209533.58746,500000.0,0.5
-43264.0,52,0,,,,52a1,91276433476.50902,500000.0,0.0,228019635574.64322,500000.0,0.5
-53.0,53,1,,,,53a1,4643494092.464437,500000.0,0.0,230815764471.13367,500000.0,0.5
-157464.0,54,0,,,,54a1,107968844356.31444,500000.0,0.0,233559626203.583,500000.0,0.5
-216.0,54,0,,,,54b1,22797413043.230373,500000.0,0.0,233559626203.583,500000.0,0.5
3025.0,55,0,,,,55a1,56901111090.199875,500000.0,0.0,236253138997.5663,500000.0,0.5
-1792.0,56,0,,,,56a1,50135916748.17065,500000.0,0.0,238898117379.25146,500000.0,0.5
-7168.0,56,0,,,,56b1,68048313471.40144,500000.0,0.0,238898117379.25146,500000.0,0.5
-171.0,57,1,,,,57a1,19778860842.367928,500000.0,0.0,241496279517.94415,500000.0,0.5
3249.0,57,0,,,,57b1,57824142278.53238,500000.0,0.0,241496279517.94415,500000.0,0.5
-1121931.0,57,0,,,,57c1,133340769259.81334,500000.0,0.0,241496279517.94415,500000.0,0.5
-116.0,58,1,,,,58a1,14764540454.393293,500000.0,0.0,244049253930.0499,500000.0,0.5
-29696.0,58,0,,,,58b1,86414127347.31653,500000.0,0.0,244049253930.0499,500000.0,0.5
-61.0,61,1,,,,61a1,6459962327.694178,500000.0,0.0,251452116370.18018,500000.0,0.5
-496.0,62,0,,,,62a1,33538660626.511784,500000.0,0.0,253839036094.1498,500000.0,0.5
-45927.0,63,0,,,,63a1,92048238272.6928,500000.0,0.0,256187763459.72565,500000.0,0.5
4096.0,64,0,,,,64a1,60817482641.227,500000.0,0.0,258499501451.62497,500000.0,0.5
65.0,65,1,,,,65a1,7280623041.932934,500000.0,0.0,260775397097.19592,500000.0,0.5
1188.0,66,0,,,,66a1,44824570476.57487,500000.0,0.0,263016544884.00406,500000.0,0.5
528.0,66,0,,,,66b1,34346490095.44433,500000.0,0.0,263016544884.00406,500000.0,0.5
2737152.0,66,0,,,,66c1,144864634473.85944,500000.0,0.0,263016544884.00406,500000.0,0.5
-67.0,67,0,,,,67a1,7672200370.832964,500000.0,0.0,265223989920.42667,500000.0,0.5
-207.0,69,0,,,,69a1,22247497585.70709,500000.0,0.0,269541722624.7539,500000.0,0.5
-2800.0,70,0,,,,70a1,55902420500.14697,500000.0,0.0,271653878901.80426,500000.0,0.5
-34992.0,72,0,,,,72a1,88534565613.56847,500000.0,0.0,275789147532.09924,500000.0,0.5
-5329.0,73,0,,,,73a1,64217695447.69816,500000.0,0.0,277813901407.8424,500000.0,0.5
-1875.0,75,0,,,,75a1,50720935250.898705,500000.0,0.0,281781503168.2143,500000.0,0.5
-234375.0,75,0,,,,75b1,113107881048.55562,500000.0,0.0,281781503168.2143,500000.0,0.5
-6075.0,75,0,,,,75c1,65910592261.18346,500000.0,0.0,281781503168.2143,500000.0,0.5
-4864.0,76,0,,,,76a1,63037970630.92982,500000.0,0.0,283725800846.46045,500000.0,0.5
-539.0,77,1,,,,77a1,34612913203.61255,500000.0,0.0,285644682140.14667,500000.0,0.5
-156590819.0,77,0,,,,77b1,197152535007.15335,500000.0,0.0,285644682140.14667,500000.0,0.5
-41503.0,77,0,,,,77c1,90739496551.9777,500000.0,0.0,285644682140.14667,500000.0,0.5
-207028224.0,78,0,,,,78a1,200760340989.46384,500000.0,0.0,287538802983.63367,500000.0,0.5
