label,conductor,delta,rank,a_invariants_raw
11a1,11,-161051,0,"[0, -1, 1, -10, -20]"
14a1,14,-21952,0,"[1, 0, 1, 4, -6]"
15a1,15,50625,0,"[1, 1, 1, -10, -10]"
17a1,17,-83521,0,"[1, -1, 1, -1, -14]"
19a1,19,-6859,0,"[0, 1, 1, -9, -15]"
20a1,20,-6400,0,"[0, 1, 0, 4, 4]"
21a1,21,3969,0,"[1, 0, 0, -4, -1]"
24a1,24,2304,0,"[0, -1, 0, -4, 4]"
26a1,26,-17576,0,"[1, 0, 1, -5, -8]"
26b1,26,-1664,0,"[1, -1, 1, -3, 3]"
27a1,27,-19683,0,"[0, 0, 1, 0, -7]"
30a1,30,-2160,0,"[1, 0, 1, 1, 2]"
32a1,32,-4096,0,"[0, 0, 0, 4, 0]"
33a1,33,88209,0,"[1, 1, 0, -11, 0]"
34a1,34,1088,0,"[1, 0, 0, -3, 1]"
35a1,35,-42875,0,"[0, 1, 1, 9, 1]"
36a1,36,-432,0,"[0, 0, 0, 0, 1]"
37a1,37,37,1,"[0, 0, 1, -1, 0]"
37b1,37,50653,0,"[0, 1, 1, -23, -50]"
38a1,38,-3511808,0,"[1, 0, 1, 9, 90]"
38b1,38,-608,0,"[1, 1, 1, 0, 1]"
39a1,39,1521,0,"[1, 1, 0, -4, -5]"
40a1,40,6400,0,"[0, 0, 0, -7, -6]"
42a1,42,-16128,0,"[1, 1, 1, -4, 5]"
43a1,43,-43,1,"[0, 1, 1, 0, 0]"
44a1,44,-2816,0,"[0, 1, 0, 3, -1]"
45a1,45,-10935,0,"[1, -1, 0, 0, -5]"
46a1,46,-23552,0,"[1, -1, 0, -10, -12]"
48a1,48,2304,0,"[0, 1, 0, -4, -4]"
49a1,49,-343,0,"[1, -1, 0, -2, -1]"
50a1,50,-1250,0,"[1, 0, 1, -1, -2]"
50b1,50,-800,0,"[1, 1, 1, -3, 1]"
51a1,51,-459,0,"[0, 1, 1, 1, -1]"
52a1,52,-43264,0,"[0, 0, 0, 1, -10]"
53a1,53,-53,1,"[1, -1, 1, 0, 0]"
54a1,54,-157464,0,"[1, -1, 0, 12, 8]"
54b1,54,-216,0,"[1, -1, 1, 1, -1]"
55a1,55,3025,0,"[1, -1, 0, -4, 3]"
56a1,56,-1792,0,"[0, 0, 0, 1, 2]"
56b1,56,-7168,0,"[0, -1, 0, 0, -4]"
57a1,57,-171,1,"[0, -1, 1, -2, 2]"
57b1,57,3249,0,"[1, 0, 1, -7, 5]"
57c1,57,-1121931,0,"[0, 1, 1, 20, -32]"
58a1,58,-116,1,"[1, -1, 0, -1, 1]"
58b1,58,-29696,0,"[1, 1, 1, 5, 9]"
61a1,61,-61,1,"[1, 0, 0, -2, 1]"
62a1,62,-496,0,"[1, -1, 1, -1, 1]"
63a1,63,-45927,0,"[1, -1, 0, 9, 0]"
64a1,64,4096,0,"[0, 0, 0, -4, 0]"
65a1,65,65,1,"[1, 0, 0, -1, 0]"
66a1,66,1188,0,"[1, 0, 1, -6, 4]"
66b1,66,528,0,"[1, 1, 1, -2, -1]"
66c1,66,2737152,0,"[1, 0, 0, -45, 81]"
67a1,67,-67,0,"[0, 1, 1, -12, -21]"
69a1,69,-207,0,"[1, 0, 1, -1, -1]"
70a1,70,-2800,0,"[1, -1, 1, 2, -3]"
