angDist,angDist,PGC,1PGC,T17,Vcmb,DM,e_DM,DMsnIa,e_DMsnIa,DMtf,e_DMtf,DMfp,e_DMfp,DMsbf,e_DMsbf,DMsnII,e_DMsnII,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMmas,e_DMmas,RAJ2000,DEJ2000,GLON,GLAT,SGL,SGB,CF3,1PGC,Ngal,DMzp,DMav,e_DMav,Vcmb,RAJ2000,DEJ2000,GLON,GLAT,SGL,SGB,o_DMcal,DMcal,o_DMsnIa,DMsnIa,e_DMsnIa,o_DMfp,DMfp,e_DMfp,o_DMtf,DMtf,e_DMtf,o_DMsbfo,DMsbfo,e_DMsbfo,o_DMsbfi,DMsbfi,e_DMsbfi,DMsnII,e_DMsnII,e_DMzp,Dist,Vh,Vls,V3k,fV3k,Vpds,Vpwf,Vpec,Hi,logHi,SGX,SGY,SGZ,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.392063,75.549093,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08343068+1027254,128.627863,10.45706,0.08,0.07,90,15.313,14.981,14.881,0.05,0.073,0.092,AAA,222,0,2451873.958,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,79.381317,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08344105+1027015,128.671071,10.450442,0.14,0.11,86,15.958,15.567,15.419,0.077,0.111,0.141,ABB,222,0,2451873.972,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,85.094436,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08344134+1026521,128.672252,10.447821,0.1,0.06,90,13.856,13.423,13.26,0.024,0.036,0.028,AAA,222,0,2451873.972,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,85.588187,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08344017+1026160,128.667382,10.437792,0.11,0.06,90,14.496,13.87,13.758,0.031,0.039,0.041,AAA,222,0,2451873.972,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,86.681843,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08343221+1028204,128.634232,10.472353,0.19,0.18,125,16.193,15.798,15.479,0.093,0.135,0.158,ABC,222,0,2451873.958,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,99.667907,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08343211+1028352,128.633826,10.476445,0.23,0.21,92,16.231,15.731,15.762,0.089,0.135,0.189,ABC,222,0,2451873.958,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,106.654929,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08342935+1026199,128.622316,10.43888,0.07,0.06,90,12.639,12.361,12.295,0.022,0.03,0.024,AAA,222,0,2451873.958,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,106.898966,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08344085+1028261,128.670227,10.473923,0.24,0.22,173,16.287,15.821,15.782,0.087,0.147,0.208,ABC,222,0,2451873.972,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.392063,108.430921,1379758,1379758,65180,15103,37.936,0.45,,,,,37.936,0.45,,,,,,,,,,,128.6488,10.453,215.1065,27.6136,71.2985,-54.0557,0,1379758,1,37.94,38.087,0.45,15093,128.649,10.453,215.1065,27.6136,71.2985,-54.0557,,,,,,1,37.96,0.45,,,,,,,,,,,,0.45,387.3,14821,14675,15093,15689,-12176,-3988,-3988,40.5,1.608,2762,8159,-11880,08342967+1028126,128.62365,10.470191,0.07,0.06,85,15.417,14.71,14.541,0.053,0.062,0.067,AAA,222,0,2451873.958,Gaia DR3 601520550742799104,128.648893,10.45294088,0.001,0.001,99,1.63615E+18,6.01521E+17,1249750500,0.8833,0.5686,,,,,,,,,-0.1417,,,,,,,,,,277,0,274,3,23.2159,1244.9,6.577,46.035,3,0,,,,,,,,,32,16,1.672806,35,0.1448,150.7,0,0,,0,287,392.40052,3.7728,104.008,19.203043,0.010797,31,2397.11,21.1665,113.25,16.88932,0.009985,30,4714.57,17.4605,270.014,15.56429,0.005518,18.124,0,0,0,0,0,1.32503,-2.313723,3.638753,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.648893,10.45294088,0.883346,0.568625,-0.1417
0.270635,0.421149,3731940,3731940,64369,29118,37.646,0.56,,,,,37.646,0.56,,,,,,,,,,,128.9361,10.8841,214.8009,28.0524,71.1407,-53.5489,0,3731940,1,37.65,37.797,0.56,28481,128.9361,10.8842,214.8008,28.0523,71.1407,-53.5489,,,,,,1,37.67,0.56,,,,,,,,,,,,0.56,338.8,28209,28064,28481,30573,4757,2227,2227,90.2,1.955,5390,15779,-22574,08354463+1053028,128.935987,10.884137,0.07,0.06,83,15.337,14.668,14.398,0.067,0.081,0.072,AAA,222,0,2451873.982,Gaia DR3 601578000225339648,128.9360251,10.88411528,0.002,0.001,78,1.63615E+18,6.01578E+17,1128059965,2.3011,1.2797,,,,,,,,,0.271,,,,,,,,,,199,0,197,2,33.7964,1904.5,10.977,83.811,3,0,,,,,,,,,24,13,4.966276,27,0.1789,118.6,1,0,,0,221,143.41907,1.48849,96.3517,20.295849,0.0116,21,495.018,23.2608,21.2812,18.60199,0.051095,22,1303.62,64.5037,20.2099,16.960022,0.053856,12.541,0,0,0,0,0,1.641968,-1.693859,3.335827,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,1,0,,,,,,,,,,,,,,,,,,,,,,,128.9360251,10.88411528,2.301141,1.279695,0.271
